Region,Y = No. of total crimes per year,X1 = Year,X2 = Population,X3 = Jobseeker claimants (Percentage),X4 = Median House Price (Pounds),X5 = Average Income level (Pounds),X6 = Job Density
Central,253396,2001,1276929,3.5,248167,20817,1.71
Central,261013,2002,1278340,3.5,277500,21483,1.62
Central,249325,2003,1285046,3.4,283833,21850,1.62
Central,242128,2004,1298248,3.1,306333,21550,1.6
Central,223887,2005,1311560,3,325833,24317,1.61
Central,221950,2006,1324069,3,360000,24867,1.58
Central,216253,2007,1335472,2.5,419167,26733,1.64
Central,207659,2008,1346879,2.3,435833,27867,1.71
Central,202505,2009,1367880,3.4,429167,29000,1.69
Central,203347,2010,1385793,3.4,481667,28567,1.67
Central,204123,2011,1400500,3.6,496500,30300,1.74
Central,198471,2012,1415950,3.6,529333,31517,1.8
Central,175418,2013,1592543,3,593500,32133,1.82
East,250764,2001,1984507,3.5,128889,17533,0.65
East,255690,2002,2003093,3.5,153778,17522,0.63
East,256277,2003,2027798,3.6,176000,17422,0.63
East,249208,2004,2060898,3.4,192556,17578,0.65
East,238618,2005,2097796,3.4,200778,18889,0.65
East,237107,2006,2115097,3.7,214222,19111,0.61
East,230663,2007,2139290,3.2,233778,20100,0.61
East,226528,2008,2174793,3.2,235889,20817,0.61
East,216895,2009,2213897,4.7,220222,21533,0.59
East,216281,2010,2255301,4.7,239333,21656,0.58
East,206882,2011,2285550,4.7,241556,21978,0.6
East,199137,2012,2325800,4.7,245889,22744,0.61
East,184053,2013,2887904,4,264111,23978,0.62
North,115341,2001,1043789,3.4,143000,17975,0.52
North,121134,2002,1055000,3.5,172750,18025,0.5
North,121253,2003,1067606,3.5,195000,18450,0.52
North,121041,2004,1082917,3.5,211250,17950,0.51
North,116806,2005,1100725,3.5,218500,19150,0.55
North,111325,2006,1108137,3.7,234750,19200,0.5
North,105668,2007,1117754,3.2,259250,19975,0.49
North,102234,2008,1135463,3.1,250750,21088,0.48
North,100799,2009,1154376,4.6,244250,22200,0.46
North,99512,2010,1171486,4.7,271500,21550,0.45
North,98213,2011,1186850,4.7,274000,22250,0.45
North,94542,2012,1202900,4.7,283250,23300,0.48
North,88329,2013,1223131,4,299250,24250,0.49
South,169493,2001,1601365,2.1,162571,19229,0.68
South,172568,2002,1602455,2.3,187571,19957,0.66
South,168457,2003,1605849,2.4,205571,20600,0.68
South,166181,2004,1612039,2.2,224429,20371,0.7
South,158527,2005,1623736,2.2,232571,21657,0.68
South,150652,2006,1635131,2.1,246714,22643,0.68
South,142290,2007,1648523,1.8,276429,23629,0.68
South,142635,2008,1664916,1.8,272571,24364,0.68
South,139417,2009,1682611,3,261857,25100,0.64
South,137323,2010,1701205,2.9,289143,24886,0.64
South,138134,2011,1719300,3,293286,25771,0.65
South,130673,2012,1732300,3,300857,26786,0.66
South,120611,2013,1763949,2.6,323429,27286,0.67
West,163469,2001,1423064,2.3,169833,18067,0.83
West,168513,2002,1435377,2.6,196833,18817,0.8
West,165756,2003,1454376,2.8,221000,18867,0.82
West,164597,2004,1480680,2.6,237833,19133,0.82
West,157533,2005,1501579,2.6,248500,19883,0.83
West,157468,2006,1511682,2.7,260833,20433,0.8
West,146159,2007,1524786,2.3,290833,21067,0.8
West,143875,2008,1540688,2.2,292167,21858,0.78
West,147240,2009,1565295,3.6,279000,22650,0.75
West,150557,2010,1585901,3.6,301667,22233,0.76
West,150264,2011,1604800,3.3,308667,22900,0.77
West,135919,2012,1617900,3.3,322167,23417,0.81
West,120858,2013,1643731,3,350833,24517,0.81
