Borough,Y = Crime rate each year Per Million,X1 = Year,X2 = Population In millions,X3 = Jobseeker claimants Rate,X4 = Median House Price (Pounds),X5 = Average Income level (Pounds),X6 = Job Density,,
Barking and Dagenham,"20,476",2001,"165,345",3,"89,000","16,200",0.52,,
Barking and Dagenham,"20,040",2002,"165,841",3,"115,000","17,000",0.5,,
Barking and Dagenham,"21,085",2003,"166,238",3.3,"140,000","17,400",0.53,,
Barking and Dagenham,"21,271",2004,"166,834",3.3,"160,000","16,600",0.51,,
Barking and Dagenham,"20,715",2005,"167,930",3.6,"163,000","17,900",0.51,,
Barking and Dagenham,"21,627",2006,"168,725",3.8,"168,000","17,600",0.49,,
Barking and Dagenham,"19,654",2007,"170,418",3.5,"185,000","18,600",0.49,,
Barking and Dagenham,"19,527",2008,"173,613",3.6,"190,000","19,000",0.48,,
Barking and Dagenham,"19,798",2009,"178,611",5.3,"160,000","19,400",0.42,,
Barking and Dagenham,"19,358",2010,"183,905",5.5,"171,000","19,400",0.44,,
Barking and Dagenham,"18,519",2011,"187,100",5.9,"170,000","19,600",0.45,,
Barking and Dagenham,"16,887",2012,"191,500",5.9,"175,000","20,100",0.46,,
Barking and Dagenham,"15,662",2013,"195,551",5,"180,000","21,000",0.44,,
Barnet,"28,059",2001,"319,770",2.2,"174,000","18,700",0.65,,
Barnet,"28,744",2002,"320,174",2.5,"209,000","19,700",0.64,,
Barnet,"30,867",2003,"321,873",2.5,"235,000","20,000",0.65,,
Barnet,"32,966",2004,"325,277",2.2,"250,000","19,900",0.63,,
Barnet,"31,366",2005,"330,278",2.2,"250,000","21,200",0.63,,
Barnet,"28,942",2006,"333,284",2.3,"275,000","20,400",0.63,,
Barnet,"26,166",2007,"336,787",1.8,"295,000","22,000",0.62,,
Barnet,"25,553",2008,"340,589",1.8,"280,000","23,150",0.63,,
Barnet,"25,408",2009,"347,192",2.9,"290,000","24,300",0.63,,
Barnet,"25,507",2010,"352,999",2.8,"326,000","24,100",0.61,,
Barnet,"25,955",2011,"357,550",2.9,"324,000","24,200",0.62,,
Barnet,"25,172",2012,"366,400",2.9,"330,000","25,800",0.65,,
Barnet,"22,555",2013,"370,010",2.4,"345,000","26,800",0.66,,
Bexley,"20,224",2001,"219,008",1.8,"116,000","18,300",0.54,,
Bexley,"18,501",2002,"219,606",1.9,"139,000","17,800",0.57,,
Bexley,"18,995",2003,"220,306",1.9,"163,000","17,700",0.55,,
Bexley,"18,178",2004,"222,303",1.9,"175,000","17,700",0.61,,
Bexley,"18,359",2005,"223,503",1.9,"184,000","19,400",0.57,,
