BOROUGH,Crime2001,,BOROUGH1,Crime2013
Barking and Dagenham,"20,476",,Barking and Dagenham,"15,662"
Barnet,"28,059",,Barnet,"22,555"
Bexley,"20,224",,Bexley,"11,746"
Brent,"29,829",,Brent,"24,046"
Bromley,"26,629",,Bromley,"19,252"
Camden,"46,714",,Camden,"28,222"
Croydon,"34,547",,Croydon,"27,790"
Ealing,"33,955",,Ealing,"25,580"
Enfield,"26,527",,Enfield,"22,308"
Greenwich,"27,598",,Greenwich,"19,228"
Hackney,"37,405",,Hackney,"25,815"
HammersmithFulham,"27,132",,HammersmithFulham,"18,627"
Haringey,"33,843",,Haringey,"21,697"
Harrow,"17,178",,Harrow,"12,047"
Havering,"20,682",,Havering,"14,977"
Hillingdon,"28,039",,Hillingdon,"20,803"
Hounslow,"27,336",,Hounslow,"19,755"
Islington,"33,426",,Islington,"23,997"
KensingtonChelsea,"25,862",,KensingtonChelsea,"17,575"
KingstonUponThames,"13,031",,KingstonUponThames,"9,189"
Lambeth,"49,664",,Lambeth,"32,242"
Lewisham,"27,144",,Lewisham,"21,977"
Merton,"16,736",,Merton,"11,424"
Newham,"39,151",,Newham,"28,546"
Redbridge,"25,036",,Redbridge,"19,762"
RichmondUponThames,"14,173",,RichmondUponThames,"10,376"
Southwark,"39,669",,Southwark,"30,680"
Sutton,"14,713",,Sutton,"10,338"
TowerHamlets,"33,048",,TowerHamlets,"26,340"
Waltham Forest,"26,912",,Waltham Forest,"21,769"
Wandsworth,"32,006",,Wandsworth,"21,960"
Westminster,"75,719",,Westminster,"52,984"
